Date,Price,Open,High,Low,Vol,Change,left,right,Volume
"Sep 09, 2012",11,11,11.1,10.9,14.03K,0.00%,14.03,K,14030
"Sep 08, 2012",11,11,11.1,10.8,24.25K,0.00%,24.25,K,24250
"Sep 07, 2012",11,11.2,11.2,10.9,35.54K,-1.61%,35.54,K,35540
"Sep 06, 2012",11.2,11,11.3,10.6,67.05K,1.64%,67.05,K,67050
"Sep 05, 2012",11,10.4,11.2,10.3,60.77K,5.97%,60.77,K,60770
"Sep 04, 2012",10.4,10.5,10.5,10.1,34.88K,-1.42%,34.88,K,34880
"Sep 03, 2012",10.5,10.2,10.6,10.1,22.93K,3.24%,22.93,K,22930
"Sep 02, 2012",10.2,10,10.4,9.7,25.06K,2.31%,25.06,K,25060
"Sep 01, 2012",10,10.2,10.3,9.8,23.38K,-1.87%,23.38,K,23380
"Aug 31, 2012",10.2,10.8,10.8,9.7,67.79K,-5.75%,67.79,K,67790
"Aug 30, 2012",10.8,10.9,10.9,10.6,30.87K,-1.28%,30.87,K,30870
"Aug 29, 2012",10.9,10.9,11.1,10.6,53.65K,0.00%,53.65,K,53650
"Aug 28, 2012",10.9,10.9,11.2,10.5,54.88K,0.00%,54.88,K,54880
"Aug 27, 2012",10.9,10.6,12.1,10.5,175.12K,3.20%,175.12,K,175120
"Aug 26, 2012",10.6,10.5,10.6,10.4,26.33K,0.86%,26.33,K,26330
"Aug 25, 2012",10.5,10.6,10.6,10.2,40.23K,-0.75%,40.23,K,40230
"Aug 24, 2012",10.6,10.1,10.6,9.9,92.08K,4.95%,92.08,K,92080
"Aug 23, 2012",10.1,9.8,10.3,9.7,56.02K,2.96%,56.02,K,56020
"Aug 22, 2012",9.8,9.9,10.1,9.6,67.51K,-1.11%,67.51,K,67510
"Aug 21, 2012",9.9,10.1,10.3,9.7,72.08K,-1.78%,72.08,K,72080
"Aug 20, 2012",10.1,8,10.5,7.8,192.50K,26.25%,192.5,K,192500
"Aug 19, 2012",8,11.6,11.6,7.6,238.86K,-31.09%,238.86,K,238860
"Aug 18, 2012",11.6,11.6,12.9,11,88.05K,0.00%,88.05,K,88050
"Aug 17, 2012",11.6,13.5,15.4,10.6,221.03K,-14.22%,221.03,K,221030
"Aug 16, 2012",13.5,13.3,13.8,12.5,96.60K,1.89%,96.6,K,96600
"Aug 15, 2012",13.3,12.2,13.3,12.2,57.56K,8.70%,57.56,K,57560
"Aug 14, 2012",12.2,12,12.3,11.9,44.02K,1.25%,44.02,K,44020
"Aug 13, 2012",12,11.6,12.1,11.5,54.04K,3.61%,54.04,K,54040
"Aug 12, 2012",11.6,11.5,11.8,11.4,30.34K,0.96%,30.34,K,30340
"Aug 11, 2012",11.5,11.4,11.6,11.4,21.79K,1.05%,21.79,K,21790
"Aug 10, 2012",11.4,11.1,11.6,11,63.60K,2.98%,63.6,K,63600
"Aug 09, 2012",11.1,11.1,12,10.8,101.88K,0.00%,101.88,K,101880
"Aug 08, 2012",11.1,11.1,11.1,10.9,31.32K,0.00%,31.32,K,31320
"Aug 07, 2012",11.1,10.9,11.1,10.6,41.65K,2.21%,41.65,K,41650
"Aug 06, 2012",10.9,10.9,11.2,10.6,51.64K,0.00%,51.64,K,51640
"Aug 05, 2012",10.9,11,11.3,10.1,67.28K,-1.00%,67.28,K,67280
"Aug 04, 2012",11,11,11.3,10.5,52.32K,0.00%,52.32,K,52320
"Aug 03, 2012",11,10.5,11.1,10.3,61.64K,4.18%,61.64,K,61640
"Aug 02, 2012",10.5,9.6,11,9.4,126.69K,10.26%,126.69,K,126690
"Aug 01, 2012",9.6,9.4,9.6,9.1,68.70K,2.14%,68.7,K,68700
"Jul 31, 2012",9.4,9.1,9.4,9.1,70.17K,2.75%,70.17,K,70170
"Jul 30, 2012",9.1,8.7,9.1,8.7,51.26K,4.48%,51.26,K,51260
"Jul 29, 2012",8.7,8.9,8.9,8.7,11.46K,-2.02%,11.46,K,11460
"Jul 28, 2012",8.9,8.9,8.9,8.7,16.17K,0.00%,16.17,K,16170
"Jul 27, 2012",8.9,8.9,8.9,8.8,26.67K,0.00%,26.67,K,26670
"Jul 26, 2012",8.9,8.8,8.9,8.6,32.38K,1.14%,32.38,K,32380
"Jul 25, 2012",8.8,8.6,8.9,8.4,64.72K,2.33%,64.72,K,64720
"Jul 24, 2012",8.6,8.4,8.9,8.3,40.95K,1.78%,40.95,K,40950
"Jul 23, 2012",8.4,8.4,9.2,7.8,146.40K,0.00%,146.4,K,146400
"Jul 22, 2012",8.4,8.9,9,8.3,30.07K,-4.97%,30.07,K,30070
"Jul 21, 2012",8.9,8.5,9.7,8,139.91K,3.87%,139.91,K,139910
"Jul 20, 2012",8.5,8.9,8.9,7.6,154.66K,-3.95%,154.66,K,154660
"Jul 19, 2012",8.9,9.1,9.2,8.8,48.25K,-2.63%,48.25,K,48250
"Jul 18, 2012",9.1,8.8,9.4,8.5,105.95K,3.52%,105.95,K,105950
"Jul 17, 2012",8.8,8.5,9.5,7.3,210.80K,3.53%,210.8,K,210800
"Jul 16, 2012",8.5,7.6,8.6,7.6,103.40K,11.55%,103.4,K,103400
