Date,president_name,president_code
"Oct 15, 2018",Donald Trump,1
"Oct 14, 2018",Donald Trump,1
"Oct 13, 2018",Donald Trump,1
"Oct 12, 2018",Donald Trump,1
"Oct 11, 2018",Donald Trump,1
"Oct 10, 2018",Donald Trump,1
"Oct 09, 2018",Donald Trump,1
"Oct 08, 2018",Donald Trump,1
"Oct 07, 2018",Donald Trump,1
"Oct 06, 2018",Donald Trump,1
"Oct 05, 2018",Donald Trump,1
"Oct 04, 2018",Donald Trump,1
"Oct 03, 2018",Donald Trump,1
"Oct 02, 2018",Donald Trump,1
"Oct 01, 2018",Donald Trump,1
"Sep 30, 2018",Donald Trump,1
"Sep 29, 2018",Donald Trump,1
"Sep 28, 2018",Donald Trump,1
"Sep 27, 2018",Donald Trump,1
"Sep 26, 2018",Donald Trump,1
"Sep 25, 2018",Donald Trump,1
"Sep 24, 2018",Donald Trump,1
"Sep 23, 2018",Donald Trump,1
"Sep 22, 2018",Donald Trump,1
"Sep 21, 2018",Donald Trump,1
"Sep 20, 2018",Donald Trump,1
"Sep 19, 2018",Donald Trump,1
"Sep 18, 2018",Donald Trump,1
"Sep 17, 2018",Donald Trump,1
"Sep 16, 2018",Donald Trump,1
"Sep 15, 2018",Donald Trump,1
"Sep 14, 2018",Donald Trump,1
"Sep 13, 2018",Donald Trump,1
"Sep 12, 2018",Donald Trump,1
"Sep 11, 2018",Donald Trump,1
"Sep 10, 2018",Donald Trump,1
"Sep 09, 2018",Donald Trump,1
"Sep 08, 2018",Donald Trump,1
"Sep 07, 2018",Donald Trump,1
"Sep 06, 2018",Donald Trump,1
"Sep 05, 2018",Donald Trump,1
"Sep 04, 2018",Donald Trump,1
"Sep 03, 2018",Donald Trump,1
"Sep 02, 2018",Donald Trump,1
"Sep 01, 2018",Donald Trump,1
"Aug 31, 2018",Donald Trump,1
"Aug 30, 2018",Donald Trump,1
"Aug 29, 2018",Donald Trump,1
"Aug 28, 2018",Donald Trump,1
"Aug 27, 2018",Donald Trump,1
"Aug 26, 2018",Donald Trump,1
"Aug 25, 2018",Donald Trump,1
"Aug 24, 2018",Donald Trump,1
"Aug 23, 2018",Donald Trump,1
"Aug 22, 2018",Donald Trump,1
"Aug 21, 2018",Donald Trump,1
"Aug 20, 2018",Donald Trump,1
"Aug 19, 2018",Donald Trump,1
"Aug 18, 2018",Donald Trump,1
"Aug 17, 2018",Donald Trump,1
"Aug 16, 2018",Donald Trump,1
"Aug 15, 2018",Donald Trump,1
"Aug 14, 2018",Donald Trump,1
"Aug 13, 2018",Donald Trump,1
"Aug 12, 2018",Donald Trump,1
"Aug 11, 2018",Donald Trump,1
"Aug 10, 2018",Donald Trump,1
"Aug 09, 2018",Donald Trump,1
"Aug 08, 2018",Donald Trump,1
"Aug 07, 2018",Donald Trump,1
"Aug 06, 2018",Donald Trump,1
"Aug 05, 2018",Donald Trump,1
"Aug 04, 2018",Donald Trump,1
"Aug 03, 2018",Donald Trump,1
"Aug 02, 2018",Donald Trump,1
"Aug 01, 2018",Donald Trump,1
"Jul 31, 2018",Donald Trump,1
"Jul 30, 2018",Donald Trump,1
"Jul 29, 2018",Donald Trump,1
"Jul 28, 2018",Donald Trump,1
"Jul 27, 2018",Donald Trump,1
"Jul 26, 2018",Donald Trump,1
"Jul 25, 2018",Donald Trump,1
"Jul 24, 2018",Donald Trump,1
"Jul 23, 2018",Donald Trump,1
