Height,Sum,Time
50889,['1274'],2010-04-15 00:28:36
50889,['1167'],2010-04-15 00:28:36
50889,['1060'],2010-04-15 00:28:36
50889,['953'],2010-04-15 00:28:36
50889,['846'],2010-04-15 00:28:36
50889,['739'],2010-04-15 00:28:36
50889,['632'],2010-04-15 00:28:36
50889,['525'],2010-04-15 00:28:36
50889,['418'],2010-04-15 00:28:36
50889,['311'],2010-04-15 00:28:36
50889,['204'],2010-04-15 00:28:36
50889,['97'],2010-04-15 00:28:36
50923,['200'],2010-04-15 04:18:44
50923,['100'],2010-04-15 04:18:44
50923,['50'],2010-04-15 04:18:44
50960,['50'],2010-04-15 08:23:52
50960,['50'],2010-04-15 08:23:52
50960,['50'],2010-04-15 08:23:52
50960,['50'],2010-04-15 08:23:52
50960,['50'],2010-04-15 08:23:52
51031,['100'],2010-04-15 14:55:20
51031,['50'],2010-04-15 14:55:20
51049,['11000'],2010-04-15 17:56:27
51049,['19499.58'],2010-04-15 17:56:27
51049,['0.58'],2010-04-15 17:56:27
51049,['2448.61'],2010-04-15 17:56:27
51049,['10000'],2010-04-15 17:56:27
51049,['9.17'],2010-04-15 17:56:27
51080,['50'],2010-04-15 21:59:00
51080,['16.79'],2010-04-15 21:59:00
51155,['150'],2010-04-16 07:21:52
51155,['50'],2010-04-16 07:21:52
51162,['50'],2010-04-16 08:14:26
51162,['50'],2010-04-16 08:14:26
51162,['50'],2010-04-16 08:14:26
51162,['50'],2010-04-16 08:14:26
51162,['50'],2010-04-16 08:14:26
51172,['50'],2010-04-16 09:17:05
51172,['50'],2010-04-16 09:17:05
51224,['50'],2010-04-16 14:09:12
51224,['50'],2010-04-16 14:09:12
51232,['50'],2010-04-16 15:10:08
51232,['100'],2010-04-16 15:10:08
51255,['1'],2010-04-16 18:23:31
51255,['2700'],2010-04-16 18:23:31
51255,['1'],2010-04-16 18:23:31
51386,['50'],2010-04-17 09:00:34
51386,['50'],2010-04-17 09:00:34
51386,['50'],2010-04-17 09:00:34
51386,['50'],2010-04-17 09:00:34
51408,['1'],2010-04-17 10:52:49
51408,['0.5'],2010-04-17 10:52:49
51408,['0.25'],2010-04-17 10:52:49
